aoi,date,candidates,elim_landcover,elim_geometry,elim_burst,elim_transient,survivors,survivor_ha
35SPC,2025-08-18,738,595,50,680,0,8,245.6
35SPD,2025-08-18,261,55,3,256,227,1,23.6
35SPD,2025-08-19,42,25,2,0,24,4,19.2
35SPD,2025-08-21,44,35,2,0,0,9,46.2
35SQA,2025-08-08,117,66,4,112,83,0,0
35SQA,2025-08-11,106,91,5,102,84,0,0
35SQA,2025-08-13,46,27,1,0,0,19,99.9
35SQB,2025-08-08,269,258,5,244,109,0,0
35SQB,2025-08-11,530,500,16,494,471,1,20.2
35SQB,2025-08-13,106,96,3,97,0,0,0
35SQC,2025-08-08,450,406,16,415,171,1,44.0
35SQC,2025-08-11,1068,1009,45,1015,871,1,46.8
35SQC,2025-08-13,243,235,13,241,0,0,0
35SQD,2025-08-06,2681,2481,35,2307,2465,3,757.5
35SQD,2025-08-08,255,237,5,221,156,2,108.8
35SQD,2025-08-13,198,193,7,178,0,1,31.9
35TME,2025-08-11,179,160,8,166,55,4,3291.4
35TME,2025-08-12,89,73,4,77,17,7,5792.9
35TME,2025-08-14,432,130,10,414,0,13,5383.7
35TNE,2025-08-08,100,92,10,92,12,0,0
35TNE,2025-08-11,139,135,10,130,27,0,0
35TNE,2025-08-14,944,526,41,903,0,14,470.0
35TPE,2025-08-08,795,236,20,741,563,5,4158.3
35TPE,2025-08-11,576,424,21,533,307,1,4285.8
35TPE,2025-08-14,457,407,23,422,0,3,2143.4
36STF,2025-08-08,114,71,7,108,72,1,56.5
36STF,2025-08-11,65,59,3,60,42,0,0
36STF,2025-08-13,54,27,2,52,0,1,28.4
36STG,2025-08-08,292,278,9,268,117,1,55.1
36STG,2025-08-11,410,385,8,385,346,0,0
36STG,2025-08-13,119,106,5,108,0,2,56.1
36STH,2025-08-08,705,660,21,656,249,2,126.8
36STH,2025-08-11,1258,1176,38,1188,926,1,42.9
36STH,2025-08-13,435,424,21,423,0,0,0
36STJ,2025-08-08,740,632,30,650,155,9,613.8
36STJ,2025-08-11,3614,3031,67,2996,3227,8,458.6
36STJ,2025-08-13,582,546,24,517,0,4,114.1
36SUF,2025-08-23,70,64,10,67,6,0,0
36SUF,2025-08-25,86,73,14,83,16,0,0
36SUF,2025-08-28,135,123,21,133,0,0,0
36SUG,2025-08-06,1,0,0,0,1,0,0
36SUG,2025-08-08,125,105,3,119,108,1,47.3
36SUG,2025-08-13,40,27,7,0,0,13,93.1
36SUH,2025-08-08,709,637,46,672,438,2,125.7
36SUH,2025-08-11,214,199,15,197,94,2,73.0
36SUH,2025-08-13,579,563,36,547,0,2,88.3
36SUJ,2025-08-08,1425,1351,97,1336,486,3,111.2
36SUJ,2025-08-11,1474,1405,84,1335,769,5,264.3
36SUJ,2025-08-13,1184,1151,73,1102,0,2,63.5
36SVE,2025-08-08,3,0,0,0,2,1,6.7
36SVE,2025-08-12,3,2,0,0,1,0,0
36SVE,2025-08-15,3,2,0,0,0,1,81.5
36SVF,2025-08-08,27,3,2,0,22,4,350.1
36SVF,2025-08-12,6,1,0,0,4,2,229.9
36SVF,2025-08-13,16,0,0,0,0,16,128.2
36SVG,2025-08-08,1401,1362,291,1328,643,1,20.2
36SVG,2025-08-12,943,922,247,906,135,0,0
36SVG,2025-08-13,967,942,227,932,0,0,0
36SVH,2025-08-08,1359,1317,210,1263,702,2,79.6
36SVH,2025-08-12,535,525,115,487,71,1,20.1
36SVH,2025-08-13,1175,1162,180,1093,0,0,0
36SWE,2025-08-02,5,4,1,0,0,1,3.5
36SWE,2025-08-05,9,7,3,0,7,0,0
